Title,Description,Acceptance Criteria,Priority,Work Item Type,Tags
Design Client Portal Dashboard,"As a Client User I want a dashboard showing order counts, invoice status, pending candidate responses, and quick actions.","1. Dashboard loads counts for orders by status (Awaiting Candidate, In Progress, Clear, Adverse). 2. Shows last 5 invoices with statuses. 3. Quick actions: New Order, Invite Candidate. 4. Charts render in <2 seconds.","1","User Story","ClientPortal"
Client Registration Step 1 – Company Details,"As a Client I want to submit my company details for onboarding.","1. Form captures company name, industry, business type, website. 2. Validation on required fields. 3. Data saved as draft until completion.","1","User Story","ClientPortal"
Client Registration Step 2 – Compliance Details,"As a Client I must provide compliance-related details for legal review.","1. Permissible purpose stored. 2. Agreement checkbox required. 3. Data persists across refresh. 4. Submitted status logged.","1","User Story","ClientPortal"
Client Registration Step 3 – Billing Information,"As a Client I must enter billing details so payments can be processed.","1. Stripe Setup Intent created. 2. Default payment method stored. 3. Supports card retry. 4. Autopay toggle enabled.","1","User Story","ClientPortal"
Client Login & RBAC,"As a Client User I log in securely and only see data scoped to my organization.","1. JWT auth. 2. Roles: Client Admin vs Client User. 3. Forbidden access if user attempts cross-client access.","1","User Story","ClientPortal Security"
Create New BGV Order (Direct Mode),"As a Client User I want to create a BGV order by entering a candidate’s basic information.","1. Form collects name, email, phone, position. 2. Allows selecting preset package. 3. Order saved in draft state.","1","User Story","Orders"
Create BGV Order with Invitation,"As a Client I want to invite the candidate to fill their details.","1. Invitation token generated. 2. Email sent via template. 3. Candidate cannot proceed without token. 4. Order status = Awaiting Candidate.","1","User Story","Orders"
Candidate Invitation Expiry,"As a System I must expire invitations not accepted within the configured window.","1. Expiry timestamp verified. 2. Job auto-updates expired invitations. 3. UI shows invitation expired message.","2","User Story","Orders"
Package Selection – Step 1 (Preset Packages),"As a Client I want to choose from preset BGV packages.","1. Package listing displayed with pricing. 2. User can compare packages. 3. Package_id stored.","1","User Story","Packages"
Package Selection – Step 2 (Build Your Own Package),"As a Client I want to select individual checks.","1. Components shown by category. 2. Multi-select allowed. 3. Price auto-adjusts. 4. Selected components mapped to order.","2","User Story","Packages CompetitorFeature"
Document Requirements Mapping,"As an Admin I want to define required documents per package.","1. Map LOA, ID proof, education, employment docs. 2. Min/max count configurable. 3. UI validation uses mapping.","1","User Story","AdminPortal"
Client Branch Management,"As a Client I want to add and manage multiple branches.","1. CRUD operations on branches. 2. Orders linked to branches. 3. Client Admin only.","3","User Story","ClientPortal"
Client Users Management,"As a Client Admin I want to add, edit, and disable users.","1. Invite flow for new client users. 2. Role assignment. 3. Audit trail created.","2","User Story","ClientPortal"
Admin Dashboard Overview,"As an Admin I want a dashboard to manage all clients, orders, invoices.","1. Shows global metrics. 2. Client list with statuses. 3. Orders by regions chart.","1","User Story","AdminPortal"
Admin – View Client Summary,"As an Admin I want to see overall client activity.","1. Shows signup date, billing mode, total orders, last login, tax-exempt flag. 2. Quick actions available.","1","User Story","AdminPortal"
Admin – Login As Client,"As an Admin I want to impersonate a client to troubleshoot.","1. Temporary token issued. 2. Audit entry logged. 3. Cannot access admin-only screens while impersonated.","1","User Story","AdminPortal Security"
Admin – Pricing Override per Client,"As an Admin I want to override package/component pricing.","1. Custom price stored. 2. Applied during billing. 3. UI shows overridden price clearly.","2","User Story","AdminPortal Billing"
Admin – Manage Client Invoices,"As an Admin I want to manage invoices for all clients.","1. Invoice list with filters. 2. Mark as paid manually. 3. View line items. 4. Auto-payment logs shown.","1","User Story","AdminPortal Billing"
Admin – Manage Transactions,"As an Admin I want to view all financial transactions.","1. Shows Stripe charges, refunds, adjustments. 2. Linked to invoices. 3. Filters by period.","2","User Story","AdminPortal Billing"
Admin – Resend Candidate Invitation,"As an Admin I want to resend invitations from Admin portal.","1. Retrieves latest invitation token. 2. Sends email. 3. Updates event log.","2","User Story","AdminPortal"
Candidate Portal – Start Flow,"As a Candidate I must authenticate using invitation link.","1. Token validation. 2. If expired show message. 3. Create candidate account behind scenes.","1","User Story","CandidatePortal"
Candidate – Partial Tasks Auto Save,"As a Candidate my progress should auto-save.","1. Every field change saved to profile_data. 2. Task remains draft. 3. Refresh retains state.","1","User Story","CandidatePortal"
Candidate – Personal Info Task,"As a Candidate I must enter my personal details.","1. Validations for name, DOB, phone. 2. Draft save. 3. Complete saves validated JSON.","1","User Story","CandidatePortal"
Candidate – Address History Task,"As a Candidate I must enter address history.","1. Multiple addresses allowed. 2. Validation for date ranges. 3. Completes only if all mandatory entries saved.","2","User Story","CandidatePortal"
Candidate – Employment Task,"As a Candidate I must enter employment history.","1. Multiple employers allowed. 2. End date validation. 3. Auto-save per section.","2","User Story","CandidatePortal"
Candidate – Education Task,"As a Candidate I must enter education details.","1. Can add multiple records. 2. Document mapping ready. 3. On completion task locks if admin configured.","2","User Story","CandidatePortal"
Candidate – Document Upload Task,"As a Candidate I upload required documents.","1. Upload LOA + IDs. 2. Min/max docs enforced. 3. Per-document approval by admin. 4. Candidate can re-upload if allowed.","1","User Story","CandidatePortal"
Candidate – Authorization Task,"As a Candidate I must digitally sign authorization.","1. Consent checkbox. 2. Signature recorded. 3. Task marked completed.","1","User Story","CandidatePortal"
Admin – Lock/Unlock Candidate Tasks,"As an Admin I want to control what the candidate can edit.","1. Editable_by_candidate toggled. 2. History logged. 3. Locked tasks cannot be edited.","1","User Story","AdminPortal"
Order – Move to Vendor Queue After Payment,"As a System the BGV should start only after payment.","1. Payment success event flips order to queued_for_vendor. 2. Vendor case created automatically.","1","User Story","Orders Billing"
Stripe – Create Checkout Session,"As a System create a Stripe checkout session for an order.","1. Correct amount. 2. Customer attached. 3. Redirect URL stored.","1","User Story","Billing Stripe"
Stripe – Handle Payment Webhooks,"As a System update invoice + order based on Stripe webhook.","1. payment_intent.succeeded creates invoice_payment. 2. Invoice becomes paid. 3. Order transitions to queued_for_vendor.","1","User Story","Billing Stripe"
Generate Invoice for Orders,"As a System generate invoice upon order creation.","1. Invoice stored. 2. Line items generated. 3. Pricing snapshot locked.","1","User Story","Billing"
Monthly Invoicing (Postpaid Mode),"As a System generate monthly grouped invoices.","1. All orders grouped by client. 2. Stripe invoice generated if autopay enabled. 3. Status synced via webhook.","2","User Story","Billing"
Vendor Sync – Create IDA Candidate & Case,"As a System send candidate data to IDA once order is ready.","1. Transform local data to IDA schema. 2. jobRoleId mapped. 3. Save ida_candidate_id + reference.","1","User Story","Vendor"
Vendor Sync – Handle IDA Status Webhook,"As a System update components based on IDA webhook.","1. Parse payload. 2. Update ida_cases + bgv_order_components. 3. Adjust overall_status. 4. Log timeline event.","1","User Story","Vendor"
Vendor Sync – Fetch Report from IDA,"As a System fetch final report.","1. Poll/report webhook triggers fetch. 2. Store PDF + raw JSON. 3. Mark order complete.","2","User Story","Vendor"
Timeline Events for Candidate & Order,"As a System I log all events for audit.","1. candidate_timeline_events updated for each action. 2. UI displays sorted timeline.","2","User Story","Audit"
Webhook Gateway – Generic Receiver,"As a System capture all external events.","1. webhook_events stores all payloads. 2. Processing_status tracked. 3. Failed events re-processed.","1","User Story","Integration"
Admin – Search Orders by Status/Filter,"As an Admin I must filter orders easily.","1. Filters: status, date, region, client. 2. Pagination. 3. Export to CSV.","2","User Story","AdminPortal"
Admin – Search Candidates,"As an Admin I want full-text search.","1. Search by name/email/phone. 2. Shows latest order per candidate.","2","User Story","AdminPortal"
Client – View Invoice History,"As a Client I want to see my invoices.","1. Shows list with statuses. 2. View invoice details. 3. Download PDF.","2","User Story","ClientPortal Billing"
Client – View BGV Order Details,"As a Client I want to see order status.","1. Shows package, components, candidate progress, vendor updates.","1","User Story","ClientPortal"
Competitor Feature – Address Verification Automation,"As EvalRight I want to automate address verification like AuthBridge.","1. Map address data to automated verification API. 2. Display result in components list.","4","User Story","CompetitorFeature"
Competitor Feature – Education Verification API,"As EvalRight I want to match SpringVerify’s automated education check.","1. Integrate NSR/education verification endpoint if available. 2. Show status in components.","4","User Story","CompetitorFeature"
Competitor Feature – Auto-Insufficiency Task Reopen,"As a System reopen tasks automatically when insufficiency raised.","1. IDA insufficient status reopens candidate task. 2. Candidate notified.","4","User Story","CompetitorFeature"
Security – JWT + Refresh Token Rotation,"As a System enforce secure login.","1. Expired tokens rejected. 2. Refresh token rotation implemented.","1","User Story","Security"
Security – RBAC Enforcement,"As a System restrict access to resources based on role.","1. Admin sees all clients. Client sees only theirs. Candidate sees only their data.","1","User Story","Security"
Logging – API Error Tracking,"As a System log all API errors.","1. Error logs stored with request/response. 2. Admin can debug issues.","3","User Story","Observability"
Background Jobs – Queue Processor,"As a System run asynchronous tasks.","1. Job queue handles vendor calls, emails, invoice generation. 2. Retry with exponential backoff.","2","User Story","Platform"
Admin Report – Client-wise BGV Volume,"As an Admin I want a report of BGV volume by client so I can track usage and adoption.","1. Report aggregates total BGV orders by client over a selected date range. 2. Filters by region (US/IN/Both). 3. Exports to CSV. 4. Only admin users can access.","2","User Story","Reports AdminPortal"
Admin Report – Revenue & Collections,"As an Admin I want a report showing revenue and collections so I can monitor cashflow.","1. Report sums invoice totals and payments by client over time. 2. Shows outstanding amounts. 3. Can be filtered by invoice status and period. 4. Export to CSV/Excel.","2","User Story","Reports AdminPortal Billing"
Admin Report – Turnaround Time & SLA,"As an Admin I want a TAT report to monitor SLA compliance for BGV orders.","1. TAT calculated per order from created date to completed date. 2. SLA thresholds highlighted (e.g. >5 days). 3. Report can be broken down by client, region and package.","2","User Story","Reports AdminPortal CompetitorFeature"
Admin Report – Component-wise Outcome,"As an Admin I want a report of outcomes by component (Employment, Education, Criminal, etc.).","1. Report shows counts per component status (Clear, Discrepancy, Unable to Verify, Insufficient). 2. Filters by date and client. 3. Export supported.","3","User Story","Reports AdminPortal"
Client Report – BGV Status Summary,"As a Client I want a summary report of BGV status so I can see where my candidates stand.","1. Report shows count of orders by status (Awaiting Candidate, Awaiting Documents, In Progress, Clear, Adverse). 2. Filter by job title/branch/date. 3. Exportable.","2","User Story","Reports ClientPortal"
Client Report – Candidate Outcome Report,"As a Client I want a report listing all candidates and their outcomes.","1. Report lists candidate name, position, branch, package, overall result (Clear/Adverse/On Hold). 2. Filterable by timeframe and branch. 3. Download as CSV/PDF.","2","User Story","Reports ClientPortal"
Client Report – Spend & Invoice Summary,"As a Client I want to see my spend over time.","1. Monthly invoice totals charted. 2. Breakdown by package/region. 3. Export to CSV. 4. Links to underlying invoices.","3","User Story","Reports ClientPortal Billing"
Scheduled Email Reports for Clients,"As a Client Admin I want scheduled email reports so I don’t have to log in for weekly updates.","1. Client can subscribe to weekly email summary. 2. Email includes BGV count, status breakdown, and top-level spend. 3. Subscription can be turned on/off. 4. Audit logged.","3","User Story","Reports ClientPortal CompetitorFeature"
Admin Report – Vendor Performance (IDA),"As an Admin I want a report of vendor performance so I can see SLA adherence.","1. Report aggregates average TAT per vendor and component. 2. Shows insufficiency rates. 3. Only admins can see. 4. Data derived from webhook/ida_cases timestamps.","3","User Story","Reports AdminPortal Vendor CompetitorFeature"
Configure Candidate Tasks per Package,"As an Admin I want to configure which candidate tasks are required per package.","1. Admin can mark tasks (Personal, Address, Employment, Education, Documents, Authorization) as required/optional per package. 2. Candidate portal respects configuration (only required tasks must be completed). 3. Stored configuration is versioned.","1","User Story","AdminPortal CandidateTasks"
Control Candidate Task Editability per Order,"As an Admin I want to control which sections a candidate can edit for a specific order.","1. From order detail page admin can toggle editability of specific tasks. 2. Toggling immediately updates candidate_task_status.editable_by_candidate. 3. Candidate UI hides edit controls when locked. 4. Change logged in audit/timeline.","1","User Story","AdminPortal CandidateTasks"
Reopen Candidate Task Due to Insufficiency,"As an Admin I want to reopen specific candidate tasks when vendor reports insufficiency.","1. On vendor insufficiency event the related candidate task is set back to editable (if configured). 2. Candidate receives notification/email. 3. Timeline event recorded. 4. Admin can override and keep locked if needed.","2","User Story","AdminPortal CandidateTasks Vendor"
Partial Document Requirement Tracking per Order,"As a System I must track fulfillment of document requirements per order.","1. For each document requirement the system records status: Pending, Partially Fulfilled, Fulfilled, Waived. 2. Order cannot move to vendor queue while mandatory requirements are pending (unless waived). 3. Admin view clearly shows completion % of document requirements.","1","User Story","Documents CandidateTasks"
Candidate – Partial Document Upload & Resume Later,"As a Candidate I want to upload some documents now and continue later without losing progress.","1. Candidate can upload any subset of required documents. 2. Each upload saves without forcing task completion. 3. UI shows which requirements are still pending. 4. On revisit, previously uploaded docs are shown with status.","1","User Story","CandidatePortal Documents"
Admin – Approve/Reject Individual Documents,"As an Admin I want to approve or reject individual candidate documents.","1. Admin can view each document, mark as Approved or Rejected with comments. 2. Candidate sees rejection reason and can re-upload if allowed. 3. Approved documents become read-only to candidate. 4. Status contributes to requirement fulfillment.","1","User Story","AdminPortal Documents"
Admin – Waive Specific Document Requirement,"As an Admin I want to waive document requirements in special cases.","1. Admin can mark a document requirement as Waived with reason. 2. Waived requirement no longer blocks order from progressing. 3. Waive action is logged in audit and timeline.","2","User Story","AdminPortal Documents"
Prevent Vendor Initiation Until Document Requirements Met,"As a System I must not initiate BGV with IDA until mandatory documents are satisfied.","1. When attempting to send case to IDA, system checks candidate_document_requirements. 2. If any mandatory requirement is Pending, action is blocked with clear error. 3. Admin override allowed only if requirement is Waived.","1","User Story","Vendor Documents Orders"
Report – Document Completion Funnel,"As an Admin I want to see how many candidates complete their document uploads to identify friction.","1. Report shows counts at each stage: Invited, Started, Partial Docs, All Docs Complete, Sent to Vendor. 2. Filterable by client and time. 3. Exportable.","3","User Story","Reports AdminPortal Documents CompetitorFeature"
Client – View Candidate Task Progress,"As a Client I want to see candidate task completion status.","1. From order detail, client can see which tasks the candidate has completed (Personal, Address, Employment, Education, Documents, Authorization). 2. Display progress bar. 3. No access to fields beyond permitted compliance rules.","2","User Story","ClientPortal CandidateTasks"
Candidate – Final Review Before Submit,"As a Candidate I want a final review screen summarizing all my info and documents before final submission.","1. Summary screen shows all tasks and documents. 2. Candidate must confirm before final submit. 3. After final submit, configurable tasks become locked based on admin configuration. 4. Final submit time recorded.","2","User Story","CandidatePortal"
Admin – Configure Task Locking Rules Post Submission,"As an Admin I want to configure which tasks lock immediately after candidate final submission.","1. Admin can specify per package or global rules: which tasks become locked after candidate final submit. 2. System applies these rules automatically. 3. Admin can still override per order if required.","2","User Story","AdminPortal CandidateTasks"
Report – Error & Webhook Failure Dashboard,"As an Admin I want a dashboard of external integration errors to quickly troubleshoot issues.","1. Dashboard shows count of failed webhook_events, API errors by source (IDA, Stripe). 2. Drilling into a failure shows payload and error. 3. Admin can trigger re-process of a failed event.","3","User Story","Reports AdminPortal Integration"
Report – Compliance & Audit Trail Export,"As a Compliance Officer I want to export audit logs and events for a specific order or candidate.","1. Ability to export candidate_timeline_events + audit_logs for a candidate or order. 2. Export format is CSV/PDF. 3. Access restricted to admin/compliance roles.","3","User Story","Reports AdminPortal Audit CompetitorFeature"
Competitor Feature – Client Self-service Analytics Dashboard,"As a Client I want interactive analytics similar to leading BGV vendors.","1. Client analytics page shows interactive charts (TAT, clear vs adverse ratio, monthly volume). 2. Filters: branch, package, time period. 3. Uses same data as underlying reports. 4. Only Client Admin can access full analytics.","4","User Story","Reports ClientPortal CompetitorFeature"
